# delta    ubar_pos    ubar_neg
0.772100    0.469782    -1.436510
0.772200    0.469663    -1.436177
0.772300    0.469543    -1.435845
0.772400    0.469424    -1.435512
0.772500    0.469305    -1.435180
0.772600    0.469185    -1.434847
0.772700    0.469066    -1.434515
0.772800    0.468946    -1.434182
0.772900    0.468827    -1.433850
0.773000    0.468707    -1.433517
0.773100    0.468588    -1.433185
0.773200    0.468468    -1.432852
0.773300    0.468348    -1.432520
0.773400    0.468229    -1.432187
0.773500    0.468109    -1.431855
0.773600    0.467989    -1.431522
0.773700    0.467870    -1.431190
0.773800    0.467750    -1.430857
0.773900    0.467630    -1.430525
0.774000    0.467510    -1.430192
0.774100    0.467390    -1.429860
0.774200    0.467270    -1.429527
0.774300    0.467151    -1.429195
0.774400    0.467031    -1.428862
0.774500    0.466911    -1.428529
0.774600    0.466791    -1.428197
0.774700    0.466670    -1.427864
0.774800    0.466550    -1.427532
0.774900    0.466430    -1.427199
0.775000    0.466310    -1.426866
0.775100    0.466190    -1.426534
0.775200    0.466070    -1.426201
0.775300    0.465949    -1.425869
0.775400    0.465829    -1.425536
0.775500    0.465709    -1.425203
0.775600    0.465589    -1.424871
0.775700    0.465468    -1.424538
0.775800    0.465348    -1.424205
0.775900    0.465227    -1.423873
0.776000    0.465107    -1.423540
0.776100    0.464986    -1.423207
0.776200    0.464866    -1.422875
0.776300    0.464745    -1.422542
0.776400    0.464625    -1.422209
0.776500    0.464504    -1.421877
0.776600    0.464383    -1.421544
0.776700    0.464263    -1.421211
0.776800    0.464142    -1.420879
0.776900    0.464021    -1.420546
0.777000    0.463900    -1.420213
0.777100    0.463780    -1.419880
0.777200    0.463659    -1.419548
0.777300    0.463538    -1.419215
0.777400    0.463417    -1.418882
0.777500    0.463296    -1.418550
0.777600    0.463175    -1.418217
0.777700    0.463054    -1.417884
0.777800    0.462933    -1.417551
0.777900    0.462812    -1.417218
0.778000    0.462691    -1.416886
0.778100    0.462569    -1.416553
0.778200    0.462448    -1.416220
0.778300    0.462327    -1.415887
0.778400    0.462206    -1.415555
0.778500    0.462085    -1.415222
